---
gamesThru: May 16, 2021
listname: College Tennis Women Singles
division: ctws2021
listdate: 2021-05-17
downloaded: 2021-05-19T00:06:16.947Z
player: 5363
---
rank	name	wins	losses	change	rating	pwrRnk	pwr	hfa	sosRnk	sos	masseyId	r2Id	groupId	group
   1	Alexa Noel                       	23	 0	     	 9.419	   1	 5.043	 0.07	  25	 3.411	337750	564451	  3540	Iowa
   2	Sara Daavettila                  	17	 1	     	 9.144	   3	 4.973	 0.09	  17	 3.483	337265	400079	  5492	North Carolina
   3	Abigail Forbes                   	20	 2	    3	 9.019	   2	 5.016	 0.10	   7	 3.577	337617	512054	  8141	UCLA
   4	Katarina Jokic                   	25	 1	     	 8.888	   5	 4.581	 0.06	  59	 3.171	336778	419539	  2881	Georgia
   5	Estela Perez-Somarriba           	19	 2	     	 8.876	   4	 4.747	 0.08	  32	 3.385	337439	440887	  4719	Miami FL
   6	Emma Navarro                     	19	 1	   -3	 8.868	   6	 4.574	 0.09	  41	 3.275	337529	564450	  8432	Virginia
   7	Fiona Crawley                    	29	 0	     	 8.734	  19	 4.252	 0.07	 227	 2.654	337044	564453	  5492	North Carolina
   8	Charlotte Chavatipon             	26	 1	    3	 8.658	  10	 4.379	 0.05	 124	 2.940	336664	562071	  7840	Texas
   9	McCartney Kessler                	17	 2	   -1	 8.567	   8	 4.422	 0.06	  75	 3.125	336945	421536	  2625	Florida
  10	Ayana Akli                       	15	 3	     	 8.505	   9	 4.391	 0.13	  24	 3.431	338332	514025	  4474	Maryland
  11	Meg Kowalski                     	23	 2	   -2	 8.502	  12	 4.338	 0.05	  98	 3.033	336782	487384	  2881	Georgia
  12	Angela Kulikov                   	 1	 0	    3	 8.483	  15	 4.280	 0.08	   1	 3.913	339012	423901	  8251	USC
  13	Alexa Graham                     	12	 2	     	 8.449	  14	 4.296	 0.06	  87	 3.074	337263	411298	  5492	North Carolina
  14	Irina Cantos Siemers             	20	 6	   -2	 8.387	  18	 4.254	 0.04	  15	 3.514	337123	511553	  5850	Ohio St
  15	Katarina Kozarov                 	23	 1	    6	 8.368	  35	 4.072	 0.06	 230	 2.646	337200	423350	  2800	Furman
  16	Georgia Drummy                   	20	 4	    7	 8.363	   7	 4.435	 0.02	  58	 3.191	336987	564359	  2265	Duke
  17	Makenna Jones                    	15	 2	    2	 8.348	  17	 4.259	 0.09	 110	 2.997	337045	419691	  5492	North Carolina
  18	Lulu Sun                         	20	 2	    2	 8.339	  24	 4.211	 0.05	 143	 2.853	337206	562075	  7840	Texas
  19	Layne Sleeth                     	 9	 1	   -1	 8.332	  16	 4.279	 0.08	 123	 2.944	337810	511900	  2625	Florida
  20	Valeriya Zeleva                  	13	 2	    2	 8.310	  23	 4.218	 0.12	  68	 3.145	337581	497367	  1380	UCF
  21	Kari Miller                      	16	 4	   -4	 8.294	  11	 4.340	 0.08	  52	 3.208	337091	564380	  4741	Michigan
  22	Elise Van Heuvelen               	19	 4	   -6	 8.287	  13	 4.303	 0.10	  49	 3.231	337772	459837	  3540	Iowa
  23	Anna Turati                      	18	 3	    8	 8.276	  22	 4.223	 0.07	 130	 2.913	337207	459000	  7840	Texas
  24	Jada Hart                        	11	 2	    4	 8.262	  27	 4.178	 0.12	  99	 3.030	338608	413959	  8141	UCLA
  25	Kylie Collins                    	17	 2	    2	 8.258	  26	 4.198	 0.08	 150	 2.839	337208	564774	  7840	Texas
  26	Dana Guzman                      	18	 2	    7	 8.257	  32	 4.097	 0.08	 155	 2.815	337158	564055	  5886	Oklahoma
  27	Meible Chi                       	24	 3	    3	 8.251	  34	 4.091	 0.09	 144	 2.849	336994	396854	  2265	Duke
  28	Reilly Tran                      	17	 0	   -4	 8.232	  48	 3.889	 0.07	 410	 2.245	337046	564465	  5492	North Carolina
  29	Anna Rogers                      	19	 8	  -15	 8.222	  21	 4.229	 0.08	  11	 3.546	337001	446522	  5511	NC State
  30	Ashley Lahey                     	11	 4	    4	 8.197	  25	 4.202	 0.05	  36	 3.343	337681	424436	  6161	Pepperdine
  31	Lea Ma                           	16	 4	   10	 8.194	  20	 4.233	 0.08	  95	 3.042	337324	513316	  2881	Georgia
  32	Natasha Subhash                  	16	 6	   -7	 8.190	  28	 4.175	 0.07	  34	 3.376	337047	511574	  8432	Virginia
  33	Chloe Beck                       	19	 4	    3	 8.145	  29	 4.175	 0.11	 118	 2.963	336991	514741	  2265	Duke
  34	Peyton Stearns                   	14	 7	   -8	 8.133	  30	 4.162	 0.09	  16	 3.508	336655	562074	  7840	Texas
  35	Mariia Kozyreva                  	11	 1	    2	 8.126	  38	 4.004	 0.06	 229	 2.651	337311	423367	  6853	St Mary's CA
  36	Marta Gonzalez                   	12	 1	    4	 8.101	  44	 3.932	 0.06	 217	 2.682	336775	410824	  2881	Georgia
  37	Bunyawi Thamchaiwat              	16	 4	    2	 8.096	  31	 4.097	 0.07	  93	 3.047	336799	497414	  5912	Oklahoma St
  38	Elizabeth Scotty                 	14	 3	   -3	 8.090	  37	 4.047	 0.07	 169	 2.778	337039	520732	  5492	North Carolina
  39	Victoria Flores                  	19	 6	   -1	 8.080	  36	 4.059	 0.04	  47	 3.242	337132	407152	  2911	Georgia Tech
  40	Taisya Pachkaleva                	22	 3	    5	 8.078	  42	 3.950	 0.03	 206	 2.702	337647	564448	  6161	Pepperdine
  41	Csilla Fodor                     	13	 4	  -12	 8.077	  33	 4.095	 0.10	  69	 3.145	337769	511586	  6393	Purdue
  42	Kenya Jones                      	19	 9	  -10	 8.057	  47	 3.917	 0.16	  13	 3.537	337134	419665	  2911	Georgia Tech
  43	Jessica Failla                   	14	 5	   17	 8.025	  49	 3.883	 0.03	  48	 3.235	337646	405704	  6161	Pepperdine
  44	Tatiana Makarova                 	26	 6	    9	 8.002	  45	 3.926	 0.10	 132	 2.903	336817	514440	  7848	Texas A&M
  45	Margarita Skriabina              	19	 2	    6	 7.998	  46	 3.920	 0.09	 259	 2.568	337012	515922	  7918	Texas Tech
  46	Cameron Morra                    	15	 6	   -2	 7.984	  40	 3.972	 0.08	  50	 3.219	337267	488643	  5492	North Carolina
  47	Paris Corley                     	19	 4	    5	 7.971	  43	 3.939	 0.04	 149	 2.840	336647	486238	  4206	LSU
  48	Elysia Bolton                    	10	 3	    9	 7.965	  39	 3.990	 0.14	  86	 3.076	337619	489254	  8141	UCLA
  49	Giulia Pairone                   	13	 9	   -7	 7.934	  41	 3.951	 0.10	  12	 3.537	337323	564449	  2666	Florida St
  50	Bella Lorenzini                  	 7	 0	   17	 7.930	  62	 3.731	 0.08	 395	 2.270	337115	427820	  4741	Michigan
  51	Janice Tjen                      	18	 3	   10	 7.884	  67	 3.693	 0.08	 264	 2.557	337962	565743	  5961	Oregon
  52	Viktoriya Kanapatskaya           	12	 5	   12	 7.872	  63	 3.722	 0.08	  44	 3.261	338564	564454	  7729	Syracuse
  53	Alana Smith                      	17	 8	    1	 7.868	  51	 3.851	 0.09	  40	 3.306	336993	486136	  5511	NC State
  54	Isabella Pfennig                 	16	 6	   -4	 7.866	  53	 3.848	 0.09	  73	 3.130	337447	564946	  4719	Miami FL
  55	Kristina Novak                   	12	 8	   -9	 7.858	  60	 3.757	 0.13	   4	 3.664	338315	509862	  5279	Nebraska
  56	Malaika Rapolu                   	25	 2	    6	 7.837	  89	 3.584	 0.05	 335	 2.375	336666	562073	  7840	Texas
  57	Salma Ewing                      	15	 5	   49	 7.834	  65	 3.707	 0.14	  77	 3.115	337683	485966	  8251	USC
  58	Isabelle Boulais                 	12	 5	   -9	 7.823	  57	 3.823	 0.13	  81	 3.089	338602	490278	  5850	Ohio St
  59	Anika Yarlagadda                 	13	 1	   -1	 7.820	  77	 3.638	 0.07	 352	 2.343	337043	510762	  5492	North Carolina
  60	Rosie Johanson                   	17	 6	  -17	 7.813	  54	 3.843	 0.06	 120	 2.957	337035	419112	  8432	Virginia
  61	Victoria Allen                   	15	 5	    5	 7.812	  55	 3.843	 0.09	 146	 2.844	337326	511618	  2666	Florida St
  62	Xinyu Cai                        	11	 7	   -7	 7.805	  52	 3.848	 0.09	  27	 3.401	337126	520654	  9031	Wisconsin
  63	Gala Mesochoritou                	17	 0	   -4	 7.798	 110	 3.413	 0.07	 582	 1.958	337102	564385	  4741	Michigan
  64	Vanessa Wong                     	18	 4	    5	 7.797	  73	 3.677	 0.06	 277	 2.528	338013	464666	  8551	Washington
  65	Carolyn Campana                  	 9	 6	  -17	 7.790	  72	 3.679	 0.11	   8	 3.554	339199	509935	  8508	Wake Forest
  66	Morgan Coppoc                    	25	 6	  -19	 7.786	  50	 3.861	 0.06	 197	 2.715	336773	398734	  2881	Georgia
  67	Christina Rosca                  	15	 5	   10	 7.782	  61	 3.735	 0.05	 140	 2.875	337211	446912	  8367	Vanderbilt
  68	Livia Kraus                      	24	 4	    4	 7.756	  66	 3.697	 0.12	 301	 2.472	336643	423464	   557	Baylor
  69	Chiara Lommer                    	16	 6	  -13	 7.755	  64	 3.714	 0.08	  96	 3.036	337112	427507	  4741	Michigan
  70	Petra Hule                       	15	 3	    4	 7.753	  81	 3.621	 0.11	 222	 2.665	337329	417237	  2666	Florida St
  71	Fernanda Labraña                 	22	 2	    7	 7.741	  91	 3.569	 0.09	 429	 2.215	336661	424273	  7840	Texas
  72	Martina Okalova                  	14	 4	   -1	 7.740	  59	 3.771	 0.12	 172	 2.777	337171	438129	  8099	Tulsa
  73	Shiori Fukuda                    	17	 4	   32	 7.725	  79	 3.630	 0.10	 242	 2.614	337682	564446	  6161	Pepperdine
  74	Miska Kadleckova                 	15	 3	   41	 7.720	  80	 3.622	 0.11	 295	 2.480	337372	561613	  3554	Iowa St
