---
gamesThru: May 17, 2021
listname: College Tennis Men Singles
division: ctms2021
listdate: 2021-05-17
downloaded: 2021-05-19T00:05:46.399Z
player: 4991
---
rank	name	wins	losses	change	rating	pwrRnk	pwr	hfa	sosRnk	sos	masseyId	r2Id	groupId	group
   1	Aleksandar Kovacevic            	11	 1	     	 9.260	   1	 4.640	 0.12	  15	 3.119	332963	423252	  3425	Illinois
   2	Carl Söderlund                  	12	 2	    1	 9.001	   2	 4.370	 0.12	  12	 3.182	331762	453365	  8432	Virginia
   3	Blaise Bicknell                 	29	 0	    2	 8.981	  20	 3.896	 0.12	 177	 2.517	331249	509770	  2625	Florida
   4	Rinky Hijikata                  	13	 1	    4	 8.944	   8	 4.082	 0.07	  63	 2.852	331646	514358	  5492	North Carolina
   5	Keegan Smith                    	13	 2	    1	 8.938	   3	 4.290	 0.14	  30	 3.006	331995	452926	  8141	UCLA
   6	Liam Draxl                      	21	 2	   -2	 8.925	   9	 4.054	 0.11	  93	 2.749	332018	511968	  3781	Kentucky
   7	Valentin Vacherot               	22	 5	    2	 8.860	   4	 4.256	 0.10	   9	 3.242	331204	459505	  7848	Texas A&M
   8	Cannon Kingsley                 	27	 1	   -6	 8.842	  18	 3.899	 0.04	 193	 2.488	331917	511704	  5850	Ohio St
   9	Gabriel Decamps                 	17	 2	    1	 8.806	  11	 4.008	 0.12	  56	 2.901	332283	401237	  1380	UCF
  10	Daniel Rodrigues                	26	 7	   -3	 8.797	   5	 4.226	 0.14	  11	 3.215	331280	485261	  7242	South Carolina
  11	Daniel Cukierman                	16	 5	    1	 8.722	   7	 4.153	 0.14	  16	 3.114	332055	399776	  8251	USC
  12	Hady Habib                      	18	 5	    1	 8.687	   6	 4.159	 0.17	  13	 3.135	331179	412687	  7848	Texas A&M
  13	Joshua Goodger                  	21	 0	    3	 8.667	  35	 3.703	 0.13	 373	 2.111	331250	511775	  2625	Florida
  14	Luc Fomba                       	22	 8	    3	 8.658	  10	 4.053	 0.08	   6	 3.305	331394	489297	  7878	TCU
  15	Duarte Vale                     	24	 6	   -1	 8.652	  12	 4.000	 0.19	  22	 3.054	331243	459591	  2625	Florida
  16	Matias Soto                     	17	 5	   -5	 8.595	  22	 3.873	 0.07	  21	 3.073	331415	453651	   557	Baylor
